# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

26.610706211574723 0.3371310570293993 26.779271740089424 26.442140683060025 7245
26.27569726881932 0.3328868284814064 26.442140683060025 26.10925385457862 7235
25.94490583877605 0.32869603160513705 26.10925385457862 25.78055782297348 7359
25.61827882610563 0.32455799373570215 25.78055782297348 25.45599982923778 7386
25.295763803899504 0.32047205067655327 25.45599982923778 25.135527778561226 7566
24.977309005264782 0.31643754659288703 25.135527778561226 24.81909023196834 7488
24.66286331501515 0.31245383390637116 24.81909023196834 24.506636398061968 7721
24.352376261466368 0.3085202731911991 24.506636398061968 24.19811612487077 7649
24.04579800833504 0.3046362330714594 24.19811612487077 23.89347989179931 7849
23.743079346739414 0.3008010901197906 23.89347989179931 23.59267880167952 7838
23.44417168730086 0.29701422875731964 23.59267880167952 23.2956645729222 8023
23.149027052344774 0.2932750411548497 23.2956645729222 23.00238953176735 8031
22.8575980681997 0.28958292713529943 23.00238953176735 22.71280660463205 8133
22.56983795759336 0.2859372940773781 22.71280660463205 22.42686931055467 8155
22.285700532144453 0.2823375568204405 22.42686931055467 22.14453175373423 8373
22.005140184948935 0.2787831375705885 22.14453175373423 21.865748616163643 8361
21.728111883259686 0.27527346580791345 21.865748616163643 21.59047515035573 8468
21.454571161258265 0.2718079781949321 21.59047515035573 21.318667172160797 8515
21.18447411291772 0.268386118486152 21.318667172160797 21.050281053674645 8719
20.917777384955244 0.2650073374388029 21.050281053674645 20.785273716235842 8676
20.654438169873508 0.26167109272466504 20.785273716235842 20.523602623511177 8876
20.39441419908966 0.25837684884303513 20.523602623511177 20.265225774668142 8855
20.137663736150763 0.2551240770347576 20.265225774668142 20.010101697633385 9128
19.884145570034704 0.25191225519736093 20.010101697633385 19.758189442436024 9072
19.633819008535394 0.24874086780125992 19.758189442436024 19.509448574634764 9219
19.386643871731266 0.24560940580699153 19.509448574634764 19.263839168827772 9335
19.14258048553601 0.24251736658353096 19.263839168827772 19.02132180224424 9442
18.90158967533044 0.23946425382759529 19.02132180224424 18.781857548416646 9497
18.66363275967465 0.23644957748399875 18.781857548416646 18.545407970932647 9581
18.42867154409916 0.2334728536669708 18.545407970932647 18.311935117265676 9718
18.196668314974417 0.2305336045825186 18.311935117265676 18.081401512683158 9769
17.967585833457306 0.22763135845170268 18.081401512683158 17.853770154231455 10006
17.741387329513984 0.22476564943494282 17.853770154231455 17.629004504796512 9965
17.5180364960179 0.2219360175572227 17.629004504796512 17.40706848723929 10171
17.297497482922154 0.21914200863426814 17.40706848723929 17.18792647860502 10242
17.079734891505193 0.21638317419965603 17.18792647860502 16.971543304405365 10372
16.864713768688958 0.2136590714328115 16.971543304405365 16.757884232972554 10435
16.652399601428584 0.2109692630879394 16.757884232972554 16.546914969884615 10576
16.44275831117269 0.20831331742385117 16.546914969884615 16.338601652460763 10727
16.235756248393436 0.20569080813465135 16.338601652460763 16.132910844326112 10814
16.031360187185452 0.2031013142813176 16.132910844326112 15.929809530044794 10927
15.829537319932722 0.20054442022414243 15.929809530044794 15.729265109820652 11092
15.630255252042648 0.19801971555600595 15.729265109820652 15.531245394264646 11139
15.43348199674639 0.19552679503650872 15.531245394264646 15.335718599228137 11313
15.239185969964673 0.1930652585269268 15.335718599228137 15.14265334070121 11496
15.047335985238217 0.19063471092598583 15.14265334070121 14.952018629775225 11502
14.857901248722005 0.18823476210643797 14.952018629775225 14.763783867668787 11767
14.670851354242561 0.18586502685245065 14.763783867668787 14.577918840816336 11714
14.486156278417454 0.18352512479776628 14.577918840816336 14.39439371601857 12061
14.30378637583624 0.1812146803646595 14.39439371601857 14.21317903565391 11948
14.123712374302087 0.1789333227036476 14.21317903565391 14.034245712950263 12263
13.94590537013328 0.17668068563396488 14.034245712950263 13.857565027316298 12317
13.770336823523905 0.17445640758478653 13.857565027316298 13.683108619731511 12537
13.596978553962913 0.17226013153719855 13.683108619731511 13.510848488194313 12612
13.425802735710871 0.1700915049668854 13.510848488194313 13.340756983227427 12767
13.256781893333649 0.1679501797875549 13.340756983227427 13.172806803439872 13057
13.089888897292344 0.16583581229505562 13.172806803439872 13.006970991144817 12911
12.925096959588707 0.16374806311221768 13.006970991144817 12.8432229280326 13241
12.76237962946541 0.16168659713437705 12.8432229280326 12.681536330898222 13409
12.601710789160428 0.15965108347558754 12.681536330898222 12.521885247422635 13475
12.44306464971488 0.1576411954155077 12.521885247422635 12.364244052007127 13699
12.286415746833644 0.15565661034696632 12.364244052007127 12.20858744166016 13799
12.131738936798076 0.153697009724171 12.20858744166016 12.05489043193599 14043
11.979009392430196 0.15176207901158634 12.05489043193599 11.903128352924403 14086
11.828202599107684 0.14985150763344102 11.903128352924403 11.753276845290962 14317
11.679294350829018 0.14796498892388676 11.753276845290962 11.605311856367075 14485
11.532260746328191 0.14610222007776663 11.605311856367075 11.459209636289309 14618
11.387078185238302 0.1442629021020121 11.459209636289309 11.314946734187297 14930
11.243723364303467 0.14244673976765831 11.314946734187297 11.172499994419638 14984
11.102173273638414 0.14065344156245096 11.172499994419638 11.031846552857187 15094
